id,recency,log_history,mens,womens,newbie,urban,treatment,visit,true_tau
0,12.0,5.397096589914132,0.0,1.0,0.0,0.0,control,1,0.0
1,8.0,5.282061580074831,1.0,0.0,0.0,0.0,control,1,0.0
2,9.0,3.3704258969750875,0.0,0.0,1.0,0.0,womens_offer,0,0.0
3,11.0,2.9890093410518985,0.0,0.0,0.0,0.0,womens_offer,0,0.0
4,7.0,3.4581825102344554,1.0,1.0,0.0,0.0,mens_offer,0,0.091
5,10.0,3.5799677586459446,0.0,0.0,0.0,0.0,mens_offer,0,0.0
6,11.0,2.647780826717398,0.0,0.0,1.0,0.0,mens_offer,0,0.0
7,3.0,4.045702819277673,1.0,0.0,1.0,1.0,womens_offer,0,0.0
8,1.0,2.9041904472404845,0.0,0.0,1.0,0.0,control,0,0.0
9,4.0,2.963659485646004,1.0,0.0,1.0,0.0,control,0,0.0
10,4.0,4.832494308394079,1.0,1.0,1.0,0.0,womens_offer,1,0.0
11,11.0,3.4184418387481266,0.0,0.0,0.0,1.0,womens_offer,0,0.0
12,11.0,3.955020117291315,1.0,0.0,0.0,0.0,mens_offer,0,-0.04
13,1.0,4.576530570473844,0.0,1.0,1.0,0.0,mens_offer,0,0.26
14,6.0,4.74067278787092,1.0,1.0,1.0,0.0,control,0,0.26
15,10.0,3.721184916024011,0.0,1.0,1.0,1.0,womens_offer,0,0.26
16,2.0,4.057155250100886,0.0,0.0,1.0,0.0,womens_offer,0,0.0
17,10.0,3.2949105810137524,1.0,0.0,1.0,1.0,womens_offer,0,-0.04
18,2.0,5.576434950902192,0.0,0.0,0.0,0.0,control,1,0.0
19,6.0,4.595107335155527,1.0,1.0,0.0,1.0,mens_offer,1,0.091
20,10.0,3.0553367065565005,0.0,0.0,0.0,1.0,control,0,0.0
21,4.0,4.021736528814275,1.0,0.0,0.0,1.0,control,1,0.0
22,5.0,4.651786891229689,0.0,1.0,1.0,0.0,control,0,0.26
23,4.0,4.443296646848616,1.0,1.0,0.0,0.0,control,0,0.091
24,9.0,5.649777609131657,1.0,0.0,0.0,1.0,mens_offer,0,0.0
25,4.0,5.240399426974164,1.0,0.0,0.0,1.0,womens_offer,0,0.0
26,12.0,3.5439489673190776,0.0,1.0,0.0,0.0,control,0,0.091
27,6.0,3.939389481929495,0.0,0.0,0.0,1.0,control,0,0.0
28,6.0,2.903031440530775,0.0,1.0,1.0,1.0,control,0,0.26
29,7.0,4.239034198795597,1.0,0.0,1.0,0.0,womens_offer,0,0.0
30,7.0,4.151780458364938,0.0,1.0,1.0,0.0,womens_offer,0,0.26
31,7.0,6.434740690262973,1.0,0.0,0.0,0.0,mens_offer,1,0.0
32,7.0,4.104454239412924,1.0,1.0,0.0,1.0,womens_offer,0,0.091
33,12.0,2.2298513849510386,1.0,1.0,1.0,1.0,womens_offer,0,-0.04
34,10.0,3.4281085368026063,0.0,0.0,0.0,0.0,womens_offer,0,0.0
35,10.0,4.117532981859746,0.0,1.0,0.0,1.0,mens_offer,0,0.091
36,9.0,2.9247582708101207,1.0,0.0,1.0,0.0,womens_offer,0,-0.04
37,8.0,3.2587092950344303,1.0,0.0,1.0,0.0,womens_offer,0,0.0
38,5.0,3.696062087168932,0.0,1.0,0.0,1.0,control,0,0.091
39,12.0,4.3210060364998615,0.0,1.0,0.0,0.0,mens_offer,0,0.091
40,6.0,3.87222384797842,0.0,0.0,0.0,0.0,control,0,0.0
41,3.0,3.2396562078169855,1.0,1.0,0.0,0.0,control,0,0.091
42,11.0,4.717887292448059,1.0,1.0,0.0,0.0,mens_offer,0,-0.04
43,2.0,3.5436596848264816,0.0,1.0,1.0,0.0,womens_offer,1,0.26
44,11.0,3.578924498289268,1.0,1.0,0.0,0.0,control,0,-0.04
45,8.0,2.819783568778376,1.0,1.0,1.0,0.0,mens_offer,0,0.26
46,2.0,3.329069767280002,1.0,1.0,1.0,0.0,control,0,0.26
47,1.0,4.596730387071818,0.0,1.0,0.0,0.0,control,0,0.091
48,6.0,2.619721317154633,0.0,1.0,0.0,0.0,control,0,0.091
