id,recency,log_history,mens,womens,newbie,urban,true_tau
103400,12.0,5.0963939882647935,0.0,1.0,0.0,0.0,0.0
103401,3.0,4.753734308689461,0.0,0.0,0.0,1.0,0.0
103402,10.0,3.389111081541661,1.0,1.0,1.0,0.0,-0.04
103403,9.0,3.025913802999441,1.0,0.0,0.0,0.0,-0.04
103404,10.0,4.030285748021626,1.0,0.0,1.0,0.0,-0.04
103405,2.0,3.6137069309195784,0.0,1.0,1.0,0.0,0.26
103406,6.0,5.497710371149983,0.0,0.0,1.0,0.0,0.0
103407,11.0,2.7508518063419283,1.0,0.0,0.0,0.0,-0.04
103408,7.0,2.4439504470422273,0.0,0.0,0.0,0.0,0.0
103409,3.0,3.792614634507278,1.0,1.0,1.0,0.0,0.26
103410,1.0,4.027640659812279,0.0,0.0,0.0,1.0,0.0
103411,9.0,4.135480302857758,1.0,1.0,1.0,1.0,-0.04
103412,1.0,4.687334394304403,0.0,1.0,1.0,1.0,0.26
103413,11.0,5.868832249389817,1.0,0.0,0.0,0.0,0.0
103414,8.0,3.7165108247464227,0.0,0.0,0.0,1.0,0.0
103415,4.0,3.539524470036601,0.0,1.0,1.0,1.0,0.26
103416,3.0,2.5021448078979103,0.0,1.0,1.0,0.0,0.26
103417,2.0,4.233670277908986,0.0,1.0,0.0,0.0,0.091
103418,5.0,4.776528526065107,1.0,0.0,0.0,1.0,0.0
103419,8.0,3.788495862118901,1.0,1.0,0.0,1.0,0.091
103420,4.0,5.06886296121859,1.0,1.0,0.0,0.0,0.0
103421,6.0,4.044927020220703,1.0,1.0,0.0,0.0,0.091
103422,8.0,5.368041968794534,1.0,1.0,0.0,1.0,0.0
103423,6.0,4.313299968656185,1.0,0.0,0.0,1.0,0.0
103424,3.0,3.0948924578624033,0.0,1.0,0.0,1.0,0.091
103425,10.0,3.4588337319859424,0.0,1.0,0.0,0.0,0.091
103426,9.0,2.6899283822823734,0.0,1.0,0.0,0.0,0.091
103427,6.0,2.5204825816883596,0.0,1.0,0.0,0.0,0.091
103428,3.0,4.254525035841102,1.0,0.0,1.0,1.0,0.0
103429,6.0,4.790977188667055,0.0,0.0,0.0,0.0,0.0
103430,5.0,5.761985466617642,0.0,0.0,1.0,0.0,0.0
103431,6.0,3.9694087559780047,0.0,1.0,1.0,0.0,0.26
103432,2.0,3.809241080138827,0.0,1.0,0.0,1.0,0.091
103433,6.0,3.050365639041046,0.0,1.0,1.0,0.0,0.26
103434,1.0,4.896085163060472,0.0,0.0,0.0,0.0,0.0
103435,5.0,4.363079960265471,0.0,1.0,1.0,1.0,0.26
103436,9.0,3.495195073546419,0.0,0.0,0.0,0.0,0.0
103437,2.0,4.629485507808565,0.0,0.0,1.0,1.0,0.0
103438,2.0,4.516204607449234,1.0,1.0,1.0,0.0,0.26
103439,4.0,2.4110477669913677,1.0,0.0,0.0,0.0,0.0
103440,11.0,4.677767761750976,1.0,0.0,0.0,1.0,-0.04
103441,4.0,4.138572605203215,0.0,1.0,1.0,1.0,0.26
103442,12.0,3.6733894346526164,1.0,1.0,0.0,1.0,-0.04
103443,3.0,3.6509376384249386,1.0,1.0,1.0,0.0,0.26
103444,1.0,5.577351813778818,0.0,1.0,0.0,1.0,0.0
103445,10.0,5.386952842932656,0.0,0.0,0.0,0.0,0.0
103446,2.0,5.646882475970284,1.0,0.0,1.0,1.0,0.0
103447,2.0,3.0164167873074716,0.0,1.0,1.0,1.0,0.26
103448,7.0,3.4434312555371207,1.0,1.0,1.0,0.0,0.26
103449,3.0,4.823011407583208,1.0,1.0,1.0,1.0,0.0
103450,8.0,2.965300151581739,1.0,1.0,0.0,0.0,0.091
103451,7.0,3.3862388269157284,1.0,1.0,0.0,0.0,0.091
103452,9.0,2.465008636480204,0.0,1.0,0.0,1.0,0.091
103453,4.0,5.671232218987741,0.0,0.0,0.0,1.0,0.0
103454,4.0,4.963430178254555,0.0,1.0,0.0,0.0,0.0
103455,3.0,4.424711814419852,0.0,0.0,0.0,1.0,0.0
103456,9.0,4.212223516369287,1.0,0.0,0.0,0.0,-0.04
103457,5.0,3.6508928313394646,1.0,0.0,0.0,0.0,0.0
103458,11.0,3.6677750532776967,1.0,1.0,0.0,1.0,-0.04
103459,7.0,4.564586372893704,0.0,1.0,0.0,1.0,0.091
103460,10.0,3.3935653718919587,0.0,1.0,0.0,0.0,0.091
103461,9.0,5.110705730184338,0.0,1.0,1.0,1.0,0.0
103462,9.0,3.584812749476145,1.0,1.0,0.0,0.0,-0.04
103463,12.0,3.2532778996809077,0.0,1.0,0.0,0.0,0.091
103464,6.0,5.173889436314517,0.0,1.0,0.0,1.0,0.0
103465,11.0,3.891054448341472,1.0,0.0,0.0,1.0,-0.04
103466,10.0,4.510441999969842,0.0,1.0,0.0,1.0,0.091
103467,6.0,3.6528160712352706,1.0,0.0,0.0,0.0,0.0
103468,9.0,2.1048599691672996,0.0,1.0,1.0,0.0,0.26
103469,6.0,4.503613125418625,1.0,1.0,0.0,0.0,0.091
103470,8.0,2.847710455247354,0.0,0.0,0.0,0.0,0.0
103471,5.0,4.980898476756984,0.0,0.0,0.0,1.0,0.0
103472,6.0,2.6756143318429673,0.0,0.0,1.0,1.0,0.0
103473,3.0,2.415213908357717,0.0,0.0,0.0,0.0,0.0
103474,8.0,4.290665529004344,0.0,1.0,0.0,1.0,0.091
103475,12.0,4.395157104978905,1.0,1.0,0.0,0.0,-0.04
103476,5.0,4.112519902257928,1.0,0.0,0.0,1.0,0.0
103477,1.0,2.960937427232047,1.0,0.0,1.0,0.0,0.0
103478,9.0,4.807877488822059,0.0,0.0,1.0,0.0,0.0
103479,3.0,2.7479811465528385,1.0,1.0,1.0,0.0,0.26
103480,9.0,3.6095990614596625,0.0,1.0,0.0,0.0,0.091
103481,8.0,3.32723713995354,1.0,1.0,0.0,0.0,0.091
103482,12.0,3.6854965485845144,0.0,0.0,0.0,0.0,0.0
103483,8.0,4.775967960475379,1.0,1.0,0.0,0.0,0.0
103484,2.0,3.461225419570787,1.0,0.0,1.0,0.0,0.0
103485,4.0,4.518912208591446,0.0,0.0,0.0,1.0,0.0
103486,4.0,4.634490156355424,1.0,1.0,1.0,1.0,0.26
103487,12.0,2.5420400399507965,0.0,0.0,0.0,1.0,0.0
103488,11.0,3.0010895218214637,0.0,0.0,0.0,0.0,0.0
103489,5.0,3.6805161367590706,0.0,0.0,0.0,0.0,0.0
103490,11.0,3.497821275342219,1.0,1.0,1.0,1.0,-0.04
103491,8.0,4.290694431383442,0.0,1.0,1.0,0.0,0.26
103492,4.0,2.3606203781338633,1.0,1.0,1.0,0.0,0.26
103493,2.0,4.658062140304432,1.0,0.0,1.0,0.0,0.0
103494,11.0,4.679443776216605,1.0,0.0,0.0,1.0,-0.04
103495,11.0,3.86967036847768,1.0,0.0,1.0,0.0,-0.04
103496,9.0,2.816900291720984,0.0,1.0,1.0,0.0,0.26
103497,2.0,4.023084932080713,1.0,0.0,1.0,0.0,0.0
103498,7.0,3.545536010794834,0.0,0.0,1.0,0.0,0.0
103499,5.0,4.520914341316,1.0,1.0,1.0,0.0,0.26
103500,9.0,3.942707702636446,0.0,0.0,1.0,0.0,0.0
103501,11.0,4.6648693603404645,1.0,0.0,1.0,0.0,-0.04
103502,7.0,3.636702190843982,0.0,0.0,1.0,1.0,0.0
103503,12.0,5.303340417683659,1.0,0.0,0.0,1.0,0.0
103504,3.0,2.061793489826032,0.0,0.0,0.0,0.0,0.0
103505,11.0,3.1301380507021017,1.0,0.0,1.0,0.0,-0.04
103506,11.0,4.453437917496333,0.0,0.0,1.0,1.0,0.0
103507,10.0,2.709094017623439,1.0,1.0,0.0,0.0,-0.04
103508,12.0,4.671738446753004,0.0,1.0,1.0,0.0,0.26
103509,3.0,2.9582574216103636,0.0,0.0,0.0,0.0,0.0
103510,3.0,4.100579837736544,1.0,0.0,0.0,0.0,0.0
103511,1.0,3.2175948794066698,1.0,1.0,0.0,0.0,0.091
103512,10.0,3.6297949275192245,1.0,0.0,1.0,0.0,-0.04
103513,6.0,4.172692128550344,1.0,0.0,0.0,0.0,0.0
103514,4.0,3.925665304942419,0.0,1.0,0.0,0.0,0.091
103515,1.0,3.6822992256340643,0.0,0.0,0.0,0.0,0.0
103516,4.0,5.940438818768467,1.0,0.0,0.0,0.0,0.0
103517,12.0,4.025629056888676,1.0,0.0,1.0,1.0,-0.04
103518,1.0,3.1699493560387335,0.0,1.0,0.0,0.0,0.091
103519,1.0,4.8427574636913295,1.0,1.0,0.0,0.0,0.0
103520,4.0,4.747308368070088,0.0,1.0,1.0,0.0,0.26
103521,4.0,5.1067061505625375,1.0,0.0,1.0,0.0,0.0
103522,3.0,5.612192260408098,1.0,1.0,1.0,0.0,0.0
103523,3.0,3.196368259264196,0.0,1.0,0.0,0.0,0.091
103524,7.0,4.960603005325186,0.0,0.0,0.0,1.0,0.0
