id,recency,log_history,mens,womens,newbie,urban,treatment,visit,true_tau
0,12.0,5.397096589914132,0.0,1.0,0.0,0.0,control,1,0.0
1,8.0,5.282061580074831,1.0,0.0,0.0,0.0,control,1,0.0
2,9.0,3.3704258969750875,0.0,0.0,1.0,0.0,womens_offer,0,0.0
3,11.0,2.9890093410518985,0.0,0.0,0.0,0.0,womens_offer,0,0.0
4,7.0,3.4581825102344554,1.0,1.0,0.0,0.0,mens_offer,0,0.091
5,10.0,3.5799677586459446,0.0,0.0,0.0,0.0,mens_offer,0,0.0
6,11.0,2.647780826717398,0.0,0.0,1.0,0.0,mens_offer,0,0.0
7,3.0,4.045702819277673,1.0,0.0,1.0,1.0,womens_offer,0,0.0
8,1.0,2.9041904472404845,0.0,0.0,1.0,0.0,control,0,0.0
9,4.0,2.963659485646004,1.0,0.0,1.0,0.0,control,0,0.0
10,4.0,4.832494308394079,1.0,1.0,1.0,0.0,womens_offer,1,0.0
11,11.0,3.4184418387481266,0.0,0.0,0.0,1.0,womens_offer,0,0.0
12,11.0,3.955020117291315,1.0,0.0,0.0,0.0,mens_offer,0,-0.04
13,1.0,4.576530570473844,0.0,1.0,1.0,0.0,mens_offer,0,0.26
14,6.0,4.74067278787092,1.0,1.0,1.0,0.0,control,0,0.26
15,10.0,3.721184916024011,0.0,1.0,1.0,1.0,womens_offer,0,0.26
16,2.0,4.057155250100886,0.0,0.0,1.0,0.0,womens_offer,0,0.0
17,10.0,3.2949105810137524,1.0,0.0,1.0,1.0,womens_offer,0,-0.04
18,2.0,5.576434950902192,0.0,0.0,0.0,0.0,control,1,0.0
19,6.0,4.595107335155527,1.0,1.0,0.0,1.0,mens_offer,1,0.091
